,Unnamed: 0,companies,companies_list
3684,3684,vijay-solvex-VIJ,vijay solvex
3685,3685,vijay-textiles-VIJA,vijay textiles
3686,3686,vijaya-diagnostic-centre-VIJAY,vijaya diagnostic centre
3687,3687,viji-finance-VIJI,viji finance
3688,3688,vikalp-securities-VIKA,vikalp securities
3689,3689,vikas-ecotech-VIEC,vikas ecotech
3690,3690,vikas-ecotech-partly-paidup-VEC,vikas ecotech partly paidup
3691,3691,vikas-multicorp-VIKM,vikas multicorp
3692,3692,vikas-lifecare-partly-paidup-VLI,vikas lifecare partly paidup
3693,3693,vikas-proppant-and-granite-VIKS,vikas proppant and granite
3694,3694,vikas-wsp-VWSP,vikas wsp
3695,3695,vikram-thermo-india-VIKR,vikram thermo india
3696,3696,viksit-engineering-VIK,viksit engineering
3697,3697,vimta-labs-VIML,vimta labs
3698,3698,vinati-organics-VNTI,vinati organics
3699,3699,vinayak-polycon-international-VIN,vinayak polycon international
3700,3700,vindhya-telelinks-VNDY,vindhya telelinks
3701,3701,vineet-laboratories-VINE,vineet laboratories
3702,3702,vinny-overseas-VINN,vinny overseas
3703,3703,spaceage-products-SPAC,spaceage products
3704,3704,vintage-securities-VINT,vintage securities
3705,3705,vintron-informatics-VINTR,vintron informatics
3706,3706,vinyl-chemicals-india-VNYL,vinyl chemicals india
3707,3707,vinyoflex-VINY,vinyoflex
3708,3708,vippy-spinpro-VIPP,vippy spinpro
3709,3709,vipul-VIPL,vipul
3710,3710,vipul-organics-VIP,vipul organics
3711,3711,virat-crane-industries-VIRAT,virat crane industries
3712,3712,virat-industries-VIRA,virat industries
3713,3713,virescent-renewable-energy-trust-VIRE,virescent renewable energy trust
3714,3714,virgo-global-VIRG,virgo global
3715,3715,virinchi-VIRI,virinchi
3716,3716,virtual-global-education-VIR,virtual global education
3717,3717,virtualsoft-systems-VIRT,virtualsoft systems
3718,3718,virtuoso-optoelectronics-VOE,virtuoso optoelectronics
3719,3719,visa-steel-VISA,visa steel
3720,3720,visagar-financial-services-VISAG,visagar financial services
3721,3721,visagar-polytex-VIPO,visagar polytex
3722,3722,visaka-industries-VSKI,visaka industries
3723,3723,visco-trade-associates-VIS,visco trade associates
3724,3724,vishal-bearings-VISH,vishal bearings
3725,3725,vishal-fabrics-VIFA,vishal fabrics
3726,3726,vishnu-chemicals-VICH,vishnu chemicals
3727,3727,vishvprabha-ventures-VISV,vishvprabha ventures
3728,3728,vishwaraj-sugar-industries-VNSS,vishwaraj sugar industries
3729,3729,vision-cinemas-VISIO,vision cinemas
3730,3730,vision-corporation-VISI,vision corporation
3731,3731,vista-pharmaceuticals-VISTA,vista pharmaceuticals
3732,3732,vistar-amar-VIST,vistar amar
3733,3733,vital-chemtech-VITAL,vital chemtech
3734,3734,vitesse-agro-VIT,vitesse agro
3735,3735,vivanta-industries-VIVA,vivanta industries
3736,3736,vivanza-biosciences-VIVAN,vivanza biosciences
3737,3737,viviana-power-tech-VIVIA,viviana power tech
3738,3738,vivid-global-industries-VIVI,vivid global industries
3739,3739,vivid-mercantile-VIV,vivid mercantile
3740,3740,vivimed-labs-VVMD,vivimed labs
3741,3741,vivo-bio-tech-VIVO,vivo bio tech
3742,3742,vivo-collaboration-solutions-VIVV,vivo collaboration solutions
3743,3743,vodafone-idea-VODA,vodafone idea
3744,3744,voith-paper-fabrics-india-PORR,voith paper fabrics india
3745,3745,voltaire-leasing-and-finance-VOL,voltaire leasing and finance
3746,3746,voltamp-transformers-VOTL,voltamp transformers
3747,3747,voltas-VOLT,voltas
3748,3748,vsd-confin-VSD,vsd confin
3749,3749,w-h-brady-and-co-WHB,w h brady and co
3750,3750,ws-industries-india-WSIN,ws industries india
